,Año,Trimestre,Provincia,Mbps (Media de bajada)
500,2017,4,Santa Fe,"10,3"
501,2017,4,Santiago Del Estero,"6,17"
502,2017,4,Tierra Del Fuego,"5,2"
503,2017,4,Tucumán,"9,11"
504,2017,3,Buenos Aires,"8,43"
505,2017,3,Capital Federal,"10,64"
506,2017,3,Catamarca,"5,26"
507,2017,3,Chaco,"8,48"
508,2017,3,Chubut,"3,48"
509,2017,3,Córdoba,"9,12"
510,2017,3,Corrientes,"7,45"
511,2017,3,Entre Ríos,"6,99"
512,2017,3,Formosa,"7,07"
513,2017,3,Jujuy,"4,69"
514,2017,3,La Pampa,"3,44"
515,2017,3,La Rioja,"5,01"
516,2017,3,Mendoza,"3,51"
517,2017,3,Misiones,"8,43"
518,2017,3,Neuquén,"8,17"
519,2017,3,Río Negro,"5,49"
520,2017,3,Salta,"6,13"
521,2017,3,San Juan,"3,45"
522,2017,3,San Luis,"3,5"
523,2017,3,Santa Cruz,"3,61"
524,2017,3,Santa Fe,"7,79"
525,2017,3,Santiago Del Estero,"5,18"
526,2017,3,Tierra Del Fuego,"3,48"
527,2017,3,Tucumán,"6,39"
528,2017,2,Buenos Aires,"7,2"
529,2017,2,Capital Federal,"8,84"
530,2017,2,Catamarca,"5,1"
531,2017,2,Chaco,"7,69"
532,2017,2,Chubut,"3,45"
533,2017,2,Córdoba,"7,42"
534,2017,2,Corrientes,"6,79"
535,2017,2,Entre Ríos,"6,29"
536,2017,2,Formosa,"6,18"
537,2017,2,Jujuy,"4,54"
538,2017,2,La Pampa,"3,32"
539,2017,2,La Rioja,"5,53"
540,2017,2,Mendoza,"3,51"
541,2017,2,Misiones,"7,6"
542,2017,2,Neuquén,"6,7"
543,2017,2,Río Negro,"4,74"
544,2017,2,Salta,"5,76"
545,2017,2,San Juan,"3,49"
546,2017,2,San Luis,"3,5"
547,2017,2,Santa Cruz,"3,6"
548,2017,2,Santa Fe,"6,84"
549,2017,2,Santiago Del Estero,"5,06"
550,2017,2,Tierra Del Fuego,"3,48"
551,2017,2,Tucumán,"6,09"
552,2017,1,Buenos Aires,"6,68"
553,2017,1,Capital Federal,"8,35"
554,2017,1,Catamarca,"4,97"
555,2017,1,Chaco,"7,31"
556,2017,1,Chubut,"3,44"
557,2017,1,Córdoba,"6,8"
558,2017,1,Corrientes,"6,43"
559,2017,1,Entre Ríos,"5,95"
560,2017,1,Formosa,"5,74"
561,2017,1,Jujuy,"4,39"
562,2017,1,La Pampa,"3,22"
563,2017,1,La Rioja,"5,43"
564,2017,1,Mendoza,"3,51"
565,2017,1,Misiones,"7,34"
566,2017,1,Neuquén,"6,03"
567,2017,1,Río Negro,"4,45"
568,2017,1,Salta,"5,34"
569,2017,1,San Juan,"3,49"
570,2017,1,San Luis,"3,5"
571,2017,1,Santa Cruz,"3,59"
572,2017,1,Santa Fe,"6,28"
573,2017,1,Santiago Del Estero,"4,95"
574,2017,1,Tierra Del Fuego,"3,48"
575,2017,1,Tucumán,"5,88"
576,2016,4,Buenos Aires,"6,35"
577,2016,4,Capital Federal,"7,96"
578,2016,4,Catamarca,"4,89"
579,2016,4,Chaco,"7,08"
580,2016,4,Chubut,"3,41"
581,2016,4,Córdoba,"6,47"
582,2016,4,Corrientes,"6,24"
583,2016,4,Entre Ríos,"5,81"
584,2016,4,Formosa,"5,63"
585,2016,4,Jujuy,"4,32"
586,2016,4,La Pampa,"3,19"
587,2016,4,La Rioja,"5,34"
588,2016,4,Mendoza,"3,51"
589,2016,4,Misiones,"7,11"
590,2016,4,Neuquén,"5,68"
591,2016,4,Río Negro,"4,37"
592,2016,4,Salta,"5,22"
593,2016,4,San Juan,"3,49"
594,2016,4,San Luis,"3,5"
595,2016,4,Santa Cruz,"3,56"
596,2016,4,Santa Fe,"6,04"
597,2016,4,Santiago Del Estero,"4,87"
598,2016,4,Tierra Del Fuego,"3,48"
599,2016,4,Tucumán,"5,73"
600,2016,3,Buenos Aires,"5,91"
601,2016,3,Capital Federal,"7,38"
602,2016,3,Catamarca,"4,73"
603,2016,3,Chaco,"6,72"
604,2016,3,Chubut,"3,34"
605,2016,3,Córdoba,"6,07"
606,2016,3,Corrientes,"5,96"
607,2016,3,Entre Ríos,"5,59"
608,2016,3,Formosa,"5,42"
609,2016,3,Jujuy,"4,22"
610,2016,3,La Pampa,"3,14"
611,2016,3,La Rioja,"5,08"
612,2016,3,Mendoza,"3,51"
613,2016,3,Misiones,"6,74"
614,2016,3,Neuquén,"5,29"
615,2016,3,Río Negro,"4,16"
616,2016,3,Salta,"5,05"
617,2016,3,San Juan,"3,49"
618,2016,3,San Luis,"3,5"
619,2016,3,Santa Cruz,"3,54"
620,2016,3,Santa Fe,"5,68"
621,2016,3,Santiago Del Estero,"4,67"
622,2016,3,Tierra Del Fuego,"3,48"
623,2016,3,Tucumán,"5,54"
624,2016,2,Buenos Aires,"5,42"
625,2016,2,Capital Federal,"6,58"
626,2016,2,Catamarca,"4,36"
627,2016,2,Chaco,"6,3"
628,2016,2,Chubut,"3,34"
629,2016,2,Córdoba,"5,52"
630,2016,2,Corrientes,"5,6"
631,2016,2,Entre Ríos,"5,13"
632,2016,2,Formosa,"5,1"
633,2016,2,Jujuy,"3,84"
634,2016,2,La Pampa,"3,15"
635,2016,2,La Rioja,"4,77"
636,2016,2,Mendoza,"3,5"
637,2016,2,Misiones,"6,23"
638,2016,2,Neuquén,"4,87"
639,2016,2,Río Negro,"3,98"
640,2016,2,Salta,"4,75"
641,2016,2,San Juan,"3,49"
642,2016,2,San Luis,"3,5"
643,2016,2,Santa Cruz,"3,5"
644,2016,2,Santa Fe,"5,14"
645,2016,2,Santiago Del Estero,"4,31"
646,2016,2,Tierra Del Fuego,"3,48"
647,2016,2,Tucumán,"5,2"
648,2016,1,Buenos Aires,"4,99"
649,2016,1,Capital Federal,"6,05"
650,2016,1,Catamarca,"4,2"
651,2016,1,Chaco,"5,99"
652,2016,1,Chubut,"3,38"
653,2016,1,Córdoba,"5,16"
654,2016,1,Corrientes,"5,37"
655,2016,1,Entre Ríos,"5,08"
656,2016,1,Formosa,"4,87"
657,2016,1,Jujuy,"3,77"
658,2016,1,La Pampa,"3,05"
659,2016,1,La Rioja,"4,62"
660,2016,1,Mendoza,"3,5"
661,2016,1,Misiones,"6,0"
662,2016,1,Neuquén,"4,42"
663,2016,1,Río Negro,"3,83"
664,2016,1,Salta,"4,74"
665,2016,1,San Juan,"3,49"
666,2016,1,San Luis,"3,5"
667,2016,1,Santa Cruz,"3,48"
668,2016,1,Santa Fe,"4,9"
669,2016,1,Santiago Del Estero,"4,17"
670,2016,1,Tierra Del Fuego,"3,48"
671,2016,1,Tucumán,"5,0"
672,2015,4,Buenos Aires,"4,88"
673,2015,4,Capital Federal,"5,93"
674,2015,4,Catamarca,"4,12"
675,2015,4,Chaco,"5,83"
676,2015,4,Chubut,"3,28"
677,2015,4,Córdoba,"5,07"
678,2015,4,Corrientes,"5,26"
679,2015,4,Entre Ríos,"5,01"
680,2015,4,Formosa,"4,66"
681,2015,4,Jujuy,"3,72"
682,2015,4,La Pampa,"2,94"
683,2015,4,La Rioja,"4,52"
684,2015,4,Mendoza,"3,5"
685,2015,4,Misiones,"5,9"
686,2015,4,Neuquén,"4,36"
687,2015,4,Río Negro,"3,77"
688,2015,4,Salta,"4,67"
689,2015,4,San Juan,"3,48"
690,2015,4,San Luis,"3,5"
691,2015,4,Santa Cruz,"3,48"
692,2015,4,Santa Fe,"4,81"
693,2015,4,Santiago Del Estero,"4,09"
694,2015,4,Tierra Del Fuego,"3,47"
695,2015,4,Tucumán,"4,88"
696,2015,3,Buenos Aires,"4,7"
697,2015,3,Capital Federal,"5,66"
698,2015,3,Catamarca,"3,88"
699,2015,3,Chaco,"5,47"
700,2015,3,Chubut,"3,28"
701,2015,3,Córdoba,"4,87"
702,2015,3,Corrientes,"5,06"
703,2015,3,Entre Ríos,"4,77"
704,2015,3,Formosa,"4,17"
705,2015,3,Jujuy,"3,53"
706,2015,3,La Pampa,"2,91"
707,2015,3,La Rioja,"4,25"
708,2015,3,Mendoza,"3,5"
709,2015,3,Misiones,"5,63"
710,2015,3,Neuquén,"4,23"
711,2015,3,Río Negro,"3,74"
712,2015,3,Salta,"4,42"
713,2015,3,San Juan,"3,48"
714,2015,3,San Luis,"3,5"
715,2015,3,Santa Cruz,"3,48"
716,2015,3,Santa Fe,"4,56"
