HASTA 512 kbps,+ 512 Kbps - 1 Mbps,+ 1 Mbps - 6 Mbps,+ 6 Mbps - 10 Mbps,+ 10 Mbps - 20 Mbps,+ 20 Mbps - 30 Mbps,+ 30 Mbps,Total_x,año_trimestre_provincia,Año,Trimestre,Provincia,ADSL,Cablemodem,Fibra óptica,Wireless,Otros,Total_y
640,13637,53510,5928,1606,0,1,75322,2014-3-Misiones,2014,3,Misiones,56933.0,18373.0,4.0,3.0,14.0,75327.0
1522,3099,80090,107,2865,10,27,87720,2014-3-Neuquén,2014,3,Neuquén,54458.0,30964.0,1000.0,12858.0,3087.0,102367.0
3640,5189,86868,87,1944,8,9,97745,2014-3-Río Negro,2014,3,Río Negro,65264.0,26590.0,888.0,3533.0,1505.0,97780.0
732,17481,66026,8314,388,0,0,92941,2014-3-Salta,2014,3,Salta,73828.0,18394.0,43.0,109.0,580.0,92954.0
8,487,51276,0,0,0,0,51771,2014-3-San Juan,2014,3,San Juan,48272.0,451.0,731.0,1199.0,1126.0,51779.0
8,0,13029,0,0,3,0,13040,2014-3-San Luis,2014,3,San Luis,11303.0,925.0,355.0,25.0,438.0,13046.0
195,1624,24248,1,1,0,0,26069,2014-3-Santa Cruz,2014,3,Santa Cruz,17862.0,492.0,385.0,4273.0,3098.0,26110.0
8230,112593,357615,23962,12124,38,806,515368,2014-3-Santa Fe,2014,3,Santa Fe,325577.0,183630.0,4407.0,6540.0,733.0,520887.0
791,9914,23826,2867,142,0,0,37540,2014-3-Santiago Del Estero,2014,3,Santiago Del Estero,32820.0,3900.0,19.0,768.0,41.0,37548.0
12,336,32348,2,0,0,0,32698,2014-3-Tierra Del Fuego,2014,3,Tierra Del Fuego,21840.0,3469.0,650.0,1.0,2832.0,28792.0
6,32716,84668,14101,559,4,0,132054,2014-3-Tucumán,2014,3,Tucumán,131739.0,97.0,117.0,13.0,100.0,132066.0
6902,162273,2288771,140226,56548,284,4309,2659315,2014-2-Buenos Aires,2014,2,Buenos Aires,1568881.0,1025490.0,120008.0,17020.0,33147.0,2764546.0
847,81431,1078213,87358,56004,58,6427,1310340,2014-2-Capital Federal,2014,2,Capital Federal,447637.0,828411.0,17729.0,1883.0,14555.0,1310215.0
19,8844,13794,1915,111,0,0,24683,2014-2-Catamarca,2014,2,Catamarca,24380.0,243.0,17.0,0.0,43.0,24683.0
412,14854,41530,5418,1085,5,0,63304,2014-2-Chaco,2014,2,Chaco,53321.0,9870.0,30.0,0.0,58.0,63279.0
2064,6582,61868,0,0,0,0,70514,2014-2-Chubut,2014,2,Chubut,51070.0,649.0,866.0,10960.0,6974.0,70519.0
2105,101598,429536,28698,14824,76,627,577464,2014-2-Córdoba,2014,2,Córdoba,337825.0,234729.0,351.0,3673.0,374.0,576952.0
20,15563,41219,5199,956,0,0,62957,2014-2-Corrientes,2014,2,Corrientes,52883.0,8680.0,31.0,1309.0,55.0,62958.0
2187,32781,86757,12564,1162,0,44,135495,2014-2-Entre Ríos,2014,2,Entre Ríos,108900.0,21706.0,49.0,4795.0,133.0,135583.0
2032,8218,13944,1321,85,0,0,25600,2014-2-Formosa,2014,2,Formosa,20894.0,4628.0,0.0,0.0,78.0,25600.0
1873,11233,18851,2305,82,0,0,34344,2014-2-Jujuy,2014,2,Jujuy,30128.0,4161.0,23.0,40.0,9.0,34361.0
7032,6761,34089,18,5,4,10,47919,2014-2-La Pampa,2014,2,La Pampa,15957.0,32600.0,513.0,5869.0,689.0,55628.0
10,4785,9719,1337,61,0,0,15912,2014-2-La Rioja,2014,2,La Rioja,15864.0,0.0,14.0,0.0,34.0,15912.0
35,6,166710,31,10,5,10,166807,2014-2-Mendoza,2014,2,Mendoza,148979.0,13030.0,2480.0,36.0,2282.0,166807.0
